Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.005111830128995379,0.005721331645180586,0.00482331115445463,0.005391785080823031,0.0049374649132409056
BitRate blocking probability,1,all,all,all, ,0.004718494015726083,0.006864691474192004,0.006286610991797015,0.006054554947614884,0.007316924323694316
BitRate blocking probability,2,all,all,all, ,0.006916496700762268,0.0063899240366663,0.009008141050720873,0.009843211616868497,0.006939905793828765
BitRate blocking probability,3,all,all,all, ,0.015686069123122297,0.01073996035720144,0.011160961475025986,0.012962109392645717,0.010356356124814479
BitRate blocking probability,4,all,all,all, ,0.022411562594701343,0.020936142934318478,0.021842801008871048,0.023465087285313387,0.0219130401433085


General requested bitRate,0,all,all,all, ,2.4163974070433916E16,2.4123686729511592E16,2.4245573542701272E16,2.4148984868119596E16,2.4142739560447772E16
General requested bitRate,1,all,all,all, ,2.4104024225272476E16,2.4038401810227692E16,2.42764173579079E16,2.412887663087944E16,2.4193414654312932E16
General requested bitRate,2,all,all,all, ,2.4083420926842164E16,2.4098867431955E16,2.4155326170612416E16,2.4119033458623672E16,2.3962254148998036E16
General requested bitRate,3,all,all,all, ,2.423177309325096E16,2.4180076971903168E16,2.4099934917938368E16,2.4256522193476192E16,2.4089625698312916E16
General requested bitRate,4,all,all,all, ,2.4137111069615028E16,2.4140489443709372E16,2.423496304151762E16,2.4094173673452968E16,2.3903064687486084E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
