Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,0,1,all,all, ,-32.09362124443641,0.0,-32.65869275138422,-31.523033616600262,0.0
Average Crosstalk per overlaps,0,2,all,all, ,-28.085259120350514,-28.922670285690216,-29.49161611658031,-29.463510503687427,-29.872651493849297
Average Crosstalk per overlaps,0,3,all,all, ,-26.575884151897455,-29.617468544928556,-26.529211511445354,-26.252147004161277,0.0
Average Crosstalk per overlaps,0,4,all,all, ,-26.357835353670726,-26.685775674452042,-25.050641445957368,-25.469757839897223,-26.89919805347642
Average Crosstalk per overlaps,0,5,all,all, ,-25.72126662742832,-25.896935861877893,-25.241211294619507,-26.554179553509833,-24.11512250216791
Average Crosstalk per overlaps,0,6,all,all, ,-25.030778666355864,-25.08603568067399,-25.033613311125414,-25.08719013505139,-26.630652228427095
Average Crosstalk per overlaps,0,8,all,all, ,-25.05190085882817,-24.239004636042885,-23.132298068107282,0.0,0.0
Average Crosstalk per overlaps,0,10,all,all, ,-23.857105154977184,-22.995734139294186,-22.319661869924616,0.0,0.0
Average Crosstalk per overlaps,0,14,all,all, ,-22.102532381210942,-24.329929761085225,0.0,0.0,0.0
Average Crosstalk per overlaps,0,33,all,all, ,-20.00026917202133,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps,1,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,1,1,all,all, ,-30.320289111666717,-31.243876769466972,-31.06446929383967,-32.20590569343616,-31.061295279830023
Average Crosstalk per overlaps,1,2,all,all, ,-28.490842471629115,-28.802677098129084,-27.653173874445894,-27.519413039104318,-28.283719960997512
Average Crosstalk per overlaps,1,3,all,all, ,-29.262224761406415,-28.492767870332866,-26.863191671453155,-25.88058182900307,-25.84833347285716
Average Crosstalk per overlaps,1,4,all,all, ,-27.414367417373402,-24.88341079408012,-26.176020514810116,-24.629752229241728,-25.836412784373504
Average Crosstalk per overlaps,1,5,all,all, ,-25.739363692047295,-25.779211056264213,-25.540665201995825,-26.61916733309828,-26.38368180662332
Average Crosstalk per overlaps,1,6,all,all, ,-24.499958609608946,-24.949363635875823,-25.314887423782967,-25.084448646093165,-24.629101731812234
Average Crosstalk per overlaps,1,8,all,all, ,-23.589886470983156,-24.822274777689913,-22.512697703351435,0.0,-24.53185430841556
Average Crosstalk per overlaps,1,10,all,all, ,0.0,-23.894933486671317,0.0,0.0,-23.997162856271718
Average Crosstalk per overlaps,1,14,all,all, ,0.0,0.0,-22.119100864063583,0.0,-20.598856387634456
Average Crosstalk per overlaps,1,33,all,all, ,0.0,0.0,0.0,0.0,0.0
Average Crosstalk per overlaps,2,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,2,1,all,all, ,-30.432343329148633,-32.901721522984225,-31.136902099209316,-31.01705549140089,-31.853940190440664
Average Crosstalk per overlaps,2,2,all,all, ,-28.55094272256026,-26.5018180482089,-28.51806518827183,-28.4623522477523,-29.289429618579014
Average Crosstalk per overlaps,2,3,all,all, ,-27.217912182964906,-27.544582818010888,-26.51264442122226,-26.86287318899493,-26.53062732109743
Average Crosstalk per overlaps,2,4,all,all, ,-26.413326348152143,-26.23553486026466,-26.691732646906072,-26.180751274716812,-26.35850819637114
Average Crosstalk per overlaps,2,5,all,all, ,-26.407276562756486,-25.47223748599934,-25.69099317070283,-25.02808051870446,-25.409964803737424
Average Crosstalk per overlaps,2,6,all,all, ,-24.57642349655838,-25.58508662266666,-24.327007493993392,-24.104137746806703,-24.44973339737654
