Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.038214753809738065,0.03964421108313823,0.037912652222819976,0.03627713933318977,0.03725407711046108
Percentage of cicuits per modulation,0,8QAM,all, ,0.23231088245075215,0.2276970700312491,0.23330561940626987,0.23245365022807807,0.23206511637007543
Percentage of cicuits per modulation,0,16QAM,all, ,0.24333418102858037,0.24196976969720718,0.240827505257495,0.24433720315589577,0.2447048925325533
Percentage of cicuits per modulation,0,32QAM,all, ,0.15925585398775408,0.15959562316938178,0.1609527069985817,0.1609271912136103,0.16081473727462164
Percentage of cicuits per modulation,0,64QAM,all, ,0.32688432872317535,0.33109332601902375,0.32700151611483347,0.3260048160692261,0.32516117671228856
Percentage of cicuits per modulation,1,4QAM,all, ,0.04335624676099307,0.04653305238398589,0.047024275646045416,0.04542605902743777,0.05017246785826278
Percentage of cicuits per modulation,1,8QAM,all, ,0.28896342000019554,0.2825305042387416,0.28438723570869223,0.28620669395429,0.27874137660708687
Percentage of cicuits per modulation,1,16QAM,all, ,0.2514251630503867,0.24730729651590141,0.24813038371182458,0.24972092203442942,0.24800094073377235
Percentage of cicuits per modulation,1,32QAM,all, ,0.1552376575501863,0.1541921889547704,0.1558241973375098,0.1546679461820176,0.1532808090310442
Percentage of cicuits per modulation,1,64QAM,all, ,0.26101751263823836,0.26943695790660066,0.264633907595928,0.2639783788018253,0.2698044057698338
Percentage of cicuits per modulation,2,4QAM,all, ,0.05037571150059271,0.04933183219932449,0.05457865747695208,0.053881278538812784,0.05078917203068512
Percentage of cicuits per modulation,2,8QAM,all, ,0.32338620399126117,0.32680013706006167,0.3057641895673176,0.3113075072421073,0.32289921523675164
Percentage of cicuits per modulation,2,16QAM,all, ,0.25084988194723384,0.2531009838954428,0.2511364417346568,0.24975695978789217,0.25308369828253435
Percentage of cicuits per modulation,2,32QAM,all, ,0.15102916540123246,0.15145136815311566,0.1480663308886336,0.14724799921441548,0.1496536656575454
Percentage of cicuits per modulation,2,64QAM,all, ,0.22435903715967984,0.2193156786920554,0.24045438033243988,0.23780625521677223,0.22357424879248353
