Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.09924114951928668,0.09947993559948469,0.10580073446184,0.09664763411080436,0.0976550469340979
BitRate blocking probability,1,all,all,all, ,0.09416746092371975,0.0955116399217061,0.10146560712049603,0.09210466705591172,0.09694353173715387
BitRate blocking probability,2,all,all,all, ,0.09490541256116809,0.09488569110630392,0.09551495671981988,0.09778129106220294,0.09815449688773864
BitRate blocking probability,3,all,all,all, ,0.10501911145477405,0.10121986705489014,0.10128519089789853,0.1058913795531979,0.10736614025469723
BitRate blocking probability,4,all,all,all, ,0.13343835327218012,0.1242189957451645,0.13097466370385738,0.13122495020653707,0.13108665407378187


General requested bitRate,0,all,all,all, ,2.4171087669443684E16,2.405282656559116E16,2.417249289259814E16,2.4257842444072648E16,2.4207458590104852E16
General requested bitRate,1,all,all,all, ,2.4140958389528368E16,2.4261356891646172E16,2.4181942365853536E16,2.4116207643717944E16,2.3962043744445056E16
General requested bitRate,2,all,all,all, ,2.4116505029857172E16,2.4252976495194808E16,2.408369930078478E16,2.431375143472354E16,2.4048741775953404E16
General requested bitRate,3,all,all,all, ,2.4114523567562788E16,2.4281681765033496E16,2.4181882852993092E16,2.4238509640829968E16,2.4295289391399752E16
General requested bitRate,4,all,all,all, ,2.40340930552311E16,2.4232803601782416E16,2.40653017477293E16,2.4314403839102004E16,2.4095337798017824E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


