Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,0,1,all,all, ,-33.425010025527435,-32.6442270008066,-33.90381277422925,-33.67591274951942,-32.69509152822264
Average Crosstalk per overlaps,0,2,all,all, ,-29.43801924023565,-30.11622450782459,-29.714904486536643,-29.930925641795994,-30.247659468647882
Average Crosstalk per overlaps,0,3,all,all, ,-27.52305130184022,-27.95820242722219,-27.47559528218322,-27.662727541948552,-27.98847387082148
Average Crosstalk per overlaps,0,4,all,all, ,-27.069667703806527,-26.5370932945539,-27.10207350210319,-27.428314900719194,-27.590368916380566
Average Crosstalk per overlaps,0,5,all,all, ,-26.570915267449717,-26.755975037563726,-25.98314107637992,-26.892693162199734,-26.305931596300653
Average Crosstalk per overlaps,0,6,all,all, ,-24.520952136553646,-24.972759891825717,-24.959996438099903,-25.229831267798875,-24.83837152050694
Average Crosstalk per overlaps,0,7,all,all, ,-25.89055731045818,-25.237885904326227,-25.450093049958806,-24.753994248345403,-25.164858194739498
Average Crosstalk per overlaps,0,8,all,all, ,-24.701945718515358,-24.491188282960543,-24.542402598525662,-25.16228317017948,-24.983293422073004
Average Crosstalk per overlaps,0,9,all,all, ,-23.72594939242716,-23.57638403778393,-23.94398703122083,-23.136579588582062,-23.698418272762424
Average Crosstalk per overlaps,0,10,all,all, ,-23.507122395807,-23.383275488022942,-23.898369605275185,-23.56277569446779,-23.891071658868817
Average Crosstalk per overlaps,0,11,all,all, ,-23.404951108751145,-24.19699902151974,-22.48558095612059,-23.006604321378074,-23.752777677839365
Average Crosstalk per overlaps,0,12,all,all, ,-23.003643031068712,-23.55797863584096,-22.908889969785257,-22.75064938814919,-23.234833619037072
Average Crosstalk per overlaps,0,13,all,all, ,-23.15092694126582,-22.458783385019093,-24.317668306447686,-22.930166096099498,-23.84041531970782
Average Crosstalk per overlaps,0,14,all,all, ,-22.909656821716336,-23.208615868163587,-22.511715721964567,-22.730642297398678,-23.142935702357967
Average Crosstalk per overlaps,0,15,all,all, ,-22.344898410983472,-21.790533576990338,-21.931111681821843,-22.625537784028136,-22.04942178891053
Average Crosstalk per overlaps,0,16,all,all, ,-22.73869964253831,-22.737996246300092,-22.39952956608662,-21.808605793700117,-22.299229667061088
Average Crosstalk per overlaps,0,17,all,all, ,-22.23089862841367,-22.728100233085453,-21.75938155453322,-22.535881437812307,-22.90131476016203
Average Crosstalk per overlaps,0,18,all,all, ,-21.878841237535877,-22.56159581316462,-22.555556480496232,-22.451500119594673,-22.499415621159805
Average Crosstalk per overlaps,0,19,all,all, ,-21.56990605939535,-22.353133260977884,-22.2523021047589,-22.19965642772405,-21.78075423018665
Average Crosstalk per overlaps,0,20,all,all, ,-21.59112624105307,-22.191321223527055,-21.732111411093882,-21.703394041333983,-22.06683963590696
Average Crosstalk per overlaps,0,21,all,all, ,-21.449721608674675,-21.840827108960443,-21.32720554049239,-21.52423225759893,-21.17165138831888
Average Crosstalk per overlaps,0,22,all,all, ,-21.441758662120748,-21.24572957445611,-21.7862992032536,-21.553963318312473,-21.74072914589844
