Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.4518961350073792,0.4495102175979832,0.45250413240881865,0.45455900832783114,0.4526995355179614
Percentage of cicuits per modulation,0,8QAM,all, ,0.11659144867709025,0.11900056616068282,0.11498830045295494,0.11888990649826414,0.12054161162483487
Percentage of cicuits per modulation,0,16QAM,all, ,0.11494449554039313,0.11876555606593102,0.11519223751153855,0.11572703456795383,0.11711126262411045
Percentage of cicuits per modulation,0,32QAM,all, ,0.09934121874532116,0.09811671455887537,0.09960715282399159,0.09765500202338609,0.09645459581540035
Percentage of cicuits per modulation,0,64QAM,all, ,0.21722670202981628,0.21460694561652763,0.21770817680269627,0.2131690485825648,0.21319299441769293
Percentage of cicuits per modulation,1,4QAM,all, ,0.5169186465082793,0.5141194245829077,0.5153556293299458,0.5130288329131623,0.5174557882520788
Percentage of cicuits per modulation,1,8QAM,all, ,0.12645576589166985,0.12854315628192034,0.12454232005038482,0.1269410842531195,0.12462336168989491
Percentage of cicuits per modulation,1,16QAM,all, ,0.10258120526828442,0.10333673816819884,0.10496482669541733,0.10461199500031777,0.10227526803871256
Percentage of cicuits per modulation,1,32QAM,all, ,0.07618684622877228,0.07532133129043242,0.07611097471151486,0.0778340359722899,0.07749965397187057
Percentage of cicuits per modulation,1,64QAM,all, ,0.17785753610299412,0.1786793496765407,0.1790262492127371,0.1775840518611105,0.17814592804744311
Percentage of cicuits per modulation,2,4QAM,all, ,0.5551189858403144,0.5535455324914524,0.5533843014095529,0.5565656886741474,0.5544639632941776
Percentage of cicuits per modulation,2,8QAM,all, ,0.12926935174692605,0.13021985582877285,0.13142784633442248,0.12824099091939772,0.12821547677209677
Percentage of cicuits per modulation,2,16QAM,all, ,0.09670313377037375,0.09746906458066497,0.09716714779684675,0.09667609693039618,0.09617222847675086
Percentage of cicuits per modulation,2,32QAM,all, ,0.0642322315537528,0.06327867811286003,0.06395330393680805,0.06371255708488296,0.06478747583745778
Percentage of cicuits per modulation,2,64QAM,all, ,0.15467629708863306,0.15548686898624975,0.15406740052236992,0.15480466639117582,0.15636085561951696
Percentage of cicuits per modulation,3,4QAM,all, ,0.5799500778699891,0.578868004672401,0.5775422106919577,0.5792231582759099,0.5791773504273504
Percentage of cicuits per modulation,3,8QAM,all, ,0.13130160220169393,0.1327811404906021,0.13327733594181942,0.1310001810571608,0.13113247863247862
Percentage of cicuits per modulation,3,16QAM,all, ,0.09076653937234655,0.09321439949028353,0.092055458682431,0.0920835419040823,0.0920940170940171
Percentage of cicuits per modulation,3,32QAM,all, ,0.05717577283297421,0.05633428905171498,0.05748947390805086,0.057182111552511905,0.057735042735042735
Percentage of cicuits per modulation,3,64QAM,all, ,0.14080600772299617,0.13880216629499842,0.13963552077574107,0.14051100721033516,0.1398611111111111
Percentage of cicuits per modulation,4,4QAM,all, ,0.5917277601488128,0.6038243073320904,0.5920137379358317,0.590162505040817,0.5979068197164078
Percentage of cicuits per modulation,4,8QAM,all, ,0.13528832476200897,0.1273251528422148,0.13473828362751064,0.13666336061732298,0.13097079131362854
Percentage of cicuits per modulation,4,16QAM,all, ,0.0863989495568443,0.0857542383904956,0.08918789670463438,0.08805353620124032,0.08604691686088302
Percentage of cicuits per modulation,4,32QAM,all, ,0.052817594922858084,0.05247582708233968,0.05259325276062951,0.05165066320803043,0.051882991004334474
Percentage of cicuits per modulation,4,64QAM,all, ,0.13376737060947588,0.13062047435285956,0.13146682897139378,0.1334699349325893,0.13319248110474613


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,0.14057921416807478,0.1409953745740442,0.14072730395208552,0.142180145257822,0.14156048919759662
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,0.11757534275875345,0.11543268563126916,0.11711353927398407,0.11732444463376712,0.11765457877018792
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,0.06444506234894018,0.0637518293399421,0.06429384110083078,0.06434367745095951,0.06415391826820642
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,0.09675314953051141,0.09752918932199588,0.09778245282613829,0.09744201401461097,0.09678484680615332
Percentage of cicuits per modulation and bandwidth,0,4QAM,500.0, ,0.03254336620109939,0.03180113873073184,0.03258699525578001,0.03326872697067155,0.032545702475817104
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.03771950463071889,0.03963124779678036,0.038501169954704505,0.03932823582032331,0.03940640047726595
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.032735867217076976,0.03241002852167968,0.031009166434106863,0.03259781474302997,0.033323390292751526
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.015934806322588924,0.01575635862540459,0.015424081746559903,0.016016698259887968,0.016906720074998934
Percentage of cicuits per modulation and bandwidth,0,8QAM,300.0, ,0.021207195260197206,0.02190935019708801,0.021327522916085268,0.022544780728844967,0.021956364256189544
Percentage of cicuits per modulation and bandwidth,0,8QAM,500.0, ,0.008994075246508245,0.009293581019730166,0.0087263594014984,0.00840237694617793,0.008948736523628925
Percentage of cicuits per modulation and bandwidth,0,16QAM,100.0, ,0.03506726841058328,0.03675771527458793,0.03573191936972715,0.03523886605184128,0.03671112626241105
Percentage of cicuits per modulation and bandwidth,0,16QAM,200.0, ,0.029067653412615232,0.029109204918120347,0.02867999055449413,0.02856169197674171,0.02916861976392381
Percentage of cicuits per modulation and bandwidth,0,16QAM,400.0, ,0.01732509143798259,0.017465522950872208,0.016368632333683963,0.01759280952482375,0.01695998636383006
Percentage of cicuits per modulation and bandwidth,0,16QAM,300.0, ,0.023538596453703507,0.025199491523613175,0.025073524676384087,0.02462141381440225,0.02487535688413517
Percentage of cicuits per modulation and bandwidth,0,16QAM,500.0, ,0.009945885825508524,0.010233621398737356,0.009338170577249212,0.009712253200144832,0.009396173349810372
Percentage of cicuits per modulation and bandwidth,0,32QAM,100.0, ,0.02134622377173657,0.020851804770704925,0.020576175858145675,0.020627888649869013,0.021743299100865046
Percentage of cicuits per modulation and bandwidth,0,32QAM,200.0, ,0.031046136076829295,0.031128155277578968,0.031535109374664576,0.030425337053523887,0.030276558571611198
Percentage of cicuits per modulation and bandwidth,0,32QAM,400.0, ,0.015057857249802152,0.015307702989969342,0.015509949981753,0.015612021043215267,0.014648229428559253
Percentage of cicuits per modulation and bandwidth,0,32QAM,300.0, ,0.02381665347678224,0.022539604542104196,0.024000171736470385,0.02289621094332389,0.022787318361955085
Percentage of cicuits per modulation and bandwidth,0,32QAM,500.0, ,0.008074348170170898,0.008289446978517941,0.007985745872957946,0.008093544333454026,0.006999190352409767
Percentage of cicuits per modulation and bandwidth,0,64QAM,100.0, ,0.10681667486578401,0.10532725155694188,0.10502758517055578,0.1034163276607527,0.10406102186048494
Percentage of cicuits per modulation and bandwidth,0,64QAM,200.0, ,0.05252069385921759,0.05303750547466698,0.05412918875984801,0.05168154032927946,0.050379255976477605
Percentage of cicuits per modulation and bandwidth,0,64QAM,400.0, ,0.019046906080893204,0.01825601145140098,0.01904128115406908,0.018668398969138036,0.018941492308347893
Percentage of cicuits per modulation and bandwidth,0,64QAM,300.0, ,0.0293777939383569,0.029055793532949483,0.030386621728956915,0.03087261187195161,0.030361784633740996
Percentage of cicuits per modulation and bandwidth,0,64QAM,500.0, ,0.009464633285564563,0.008930383600568297,0.009123499989266471,0.008530169751442994,0.009449439638641496
Percentage of cicuits per modulation and bandwidth,1,4QAM,100.0, ,0.1633422267395079,0.16056988423561458,0.16475410711045166,0.1605088659619092,0.16446450816094035
Percentage of cicuits per modulation and bandwidth,1,4QAM,200.0, ,0.133824588150595,0.134618658495063,0.1355159640901376,0.1334343156155329,0.1360050253931412
Percentage of cicuits per modulation and bandwidth,1,4QAM,400.0, ,0.07165544403506544,0.07191649642492338,0.0702718859082612,0.07144673008071521,0.07153732312639077
Percentage of cicuits per modulation and bandwidth,1,4QAM,300.0, ,0.1110828780756363,0.11080609465440926,0.10876503805548736,0.11103107853314408,0.10869542071697029
Percentage of cicuits per modulation and bandwidth,1,4QAM,500.0, ,0.037013509507474694,0.036208290772897514,0.036048634165608086,0.0366078427218609,0.03675351085463625
Percentage of cicuits per modulation and bandwidth,1,8QAM,100.0, ,0.04330241815948842,0.043294603336738166,0.04256023228258201,0.04296337097218397,0.04260937150644677
Percentage of cicuits per modulation and bandwidth,1,8QAM,200.0, ,0.03516071655444035,0.03608060946544093,0.03403110622444731,0.035040145753447875,0.03410240303227111
Percentage of cicuits per modulation and bandwidth,1,8QAM,400.0, ,0.01646338881124804,0.016939053455907387,0.016802058091995004,0.017212889011291654,0.016918113774048955
Percentage of cicuits per modulation and bandwidth,1,8QAM,300.0, ,0.022487612755685428,0.022801753489955737,0.022267530609848527,0.022540940194479164,0.02158150825676352
Percentage of cicuits per modulation and bandwidth,1,8QAM,500.0, ,0.009041629610807607,0.009427136533878108,0.008881392841511971,0.00918373832171684,0.009411965120364555
Percentage of cicuits per modulation and bandwidth,1,16QAM,100.0, ,0.03505484267140982,0.03572948586993531,0.03593121190448233,0.03645954706268669,0.03553975064680643
Percentage of cicuits per modulation and bandwidth,1,16QAM,200.0, ,0.025028585948418246,0.025100017024174328,0.02593964495778136,0.02578225960214393,0.025616728596829317
Percentage of cicuits per modulation and bandwidth,1,16QAM,400.0, ,0.01425062465590988,0.014204545454545454,0.01417606934318257,0.01368557083236235,0.013990183448143692
Percentage of cicuits per modulation and bandwidth,1,16QAM,300.0, ,0.02003133866937704,0.020343888321416412,0.02076239071723652,0.0202741351185306,0.019068811686168457
Percentage of cicuits per modulation and bandwidth,1,16QAM,500.0, ,0.00821581332316944,0.007958801498127341,0.008155509772734552,0.008410482384594199,0.00805979366076467
Percentage of cicuits per modulation and bandwidth,1,32QAM,100.0, ,0.019120823275314447,0.018609550561797753,0.018435294996744202,0.019225472957227294,0.019803456022486506
Percentage of cicuits per modulation and bandwidth,1,32QAM,200.0, ,0.02305933172405031,0.02234422880490296,0.022662496397271532,0.024013304239137345,0.022891091638895692
Percentage of cicuits per modulation and bandwidth,1,32QAM,400.0, ,0.010926184728751112,0.010565628192032687,0.011464682586278675,0.01131284028557507,0.011488133896915559
Percentage of cicuits per modulation and bandwidth,1,32QAM,300.0, ,0.017130394274340405,0.017194416070820565,0.017015553112223657,0.01694807533419486,0.0172375243550568
Percentage of cicuits per modulation and bandwidth,1,32QAM,500.0, ,0.005950112226316012,0.006607507660878448,0.006532947618996787,0.006334343156155329,0.006079448058516019
Percentage of cicuits per modulation and bandwidth,1,64QAM,100.0, ,0.08087705924702494,0.08074778685733743,0.0827613445916374,0.08144609452789017,0.08130063988586395
Percentage of cicuits per modulation and bandwidth,1,64QAM,200.0, ,0.045081099394401386,0.04540134490977188,0.04442831370958272,0.044562845581848615,0.044249012488953715
Percentage of cicuits per modulation and bandwidth,1,64QAM,400.0, ,0.0164951509761572,0.016726251276813073,0.01621494678636621,0.01695866788127873,0.016811643580379673
Percentage of cicuits per modulation and bandwidth,1,64QAM,300.0, ,0.027093126667513658,0.027770684371807967,0.027295338336233307,0.026460182615511727,0.027969719876920457
Percentage of cicuits per modulation and bandwidth,1,64QAM,500.0, ,0.008311099817896921,0.00803328226081035,0.008326305788917474,0.008156261254581276,0.00781491221532532
Percentage of cicuits per modulation and bandwidth,2,4QAM,100.0, ,0.1777215297120405,0.17506959807771696,0.17488817688671762,0.17539230956694957,0.17536164156594516
Percentage of cicuits per modulation and bandwidth,2,4QAM,200.0, ,0.1467756796543215,0.14614008531718728,0.14540705728092715,0.14714390158619156,0.1466745969369331
Percentage of cicuits per modulation and bandwidth,2,4QAM,400.0, ,0.07641146754498375,0.0766584454488679,0.07721346318561051,0.07560104686523199,0.07555706608322535
Percentage of cicuits per modulation and bandwidth,2,4QAM,300.0, ,0.11627463647628226,0.11841729207905072,0.11776586407808055,0.11891668520932007,0.11891157040593071
Percentage of cicuits per modulation and bandwidth,2,4QAM,500.0, ,0.037935672452686316,0.037260111568629524,0.03810973997821696,0.03951174544645412,0.0379590883021433
Percentage of cicuits per modulation and bandwidth,2,8QAM,100.0, ,0.04458659436789765,0.04436282033639953,0.045511742748680854,0.04467190099282664,0.04418293434161055
Percentage of cicuits per modulation and bandwidth,2,8QAM,200.0, ,0.03615644493396736,0.03641329085116067,0.03648129936871491,0.035135679243883576,0.03547379824542771
Percentage of cicuits per modulation and bandwidth,2,8QAM,400.0, ,0.016881480147845334,0.016904658572471976,0.017405280800262244,0.01672017546648018,0.0170040571829131
Percentage of cicuits per modulation and bandwidth,2,8QAM,300.0, ,0.02252629126378107,0.023001767738247716,0.023062525774831075,0.022802165781917204,0.022633132952397137
Percentage of cicuits per modulation and bandwidth,2,8QAM,500.0, ,0.00911854103343465,0.009537318330492955,0.008966997641933403,0.008911069434290134,0.008921554049748285
Percentage of cicuits per modulation and bandwidth,2,16QAM,100.0, ,0.03585990701418087,0.03593695419758444,0.03577282196068479,0.03602572660711826,0.03544193555239289
Percentage of cicuits per modulation and bandwidth,2,16QAM,200.0, ,0.023744214862904164,0.02341459283801378,0.023950766107286744,0.023268381067421087,0.023567771948085053
Percentage of cicuits per modulation and bandwidth,2,16QAM,400.0, ,0.011925060631413957,0.012914015941400006,0.012033541646839873,0.011941468790065376,0.011948509888055738
Percentage of cicuits per modulation and bandwidth,2,16QAM,300.0, ,0.017739321987227687,0.017984354987244763,0.018039738180587718,0.017652606037487948,0.01779000361110521
Percentage of cicuits per modulation and bandwidth,2,16QAM,500.0, ,0.007434629274647067,0.007219146616421971,0.00737027990144762,0.007787914428303506,0.007424007477111965
