Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,0.0020338653172440636,0.0018684312962242117,0.0020825223822499026,0.002111716621253406,0.0022187621642662516
Blocking probability,1,all,all,all, ,0.0026372129233164657,0.0026080186843129623,0.0024231218372907748,0.0027150642273258076,0.0029388867263526663
Blocking probability,2,all,all,all, ,0.005449591280653951,0.005293888672635267,0.005216037368625925,0.005576099649669132,0.005303620085636435
Blocking probability,3,all,all,all, ,0.011395484624367458,0.012096146360451537,0.011551187232386143,0.010782405605293888,0.011191124951342935
Blocking probability,4,all,all,all, ,0.018937329700272478,0.019686648501362397,0.02077656675749319,0.019628260023355392,0.019599065784351888


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTO,0,all,all,all, ,0.001819774231218373,0.0017029972752043597,0.0018781627092253794,0.0018781627092253794,0.001946282600233554
Blocking probability by QoTO,1,all,all,all, ,0.002325807707279097,0.002325807707279097,0.0021895679252627483,0.0024231218372907748,0.00253016738030362
Blocking probability by QoTO,2,all,all,all, ,0.00414558193849747,0.003804982483456598,0.003639548462436746,0.004087193460490463,0.0036103542234332425
Blocking probability by QoTO,3,all,all,all, ,0.00579992214869599,0.006344881276761386,0.006296224211755547,0.005439859867652783,0.005780459322693655
Blocking probability by QoTO,4,all,all,all, ,0.007181782794861814,0.007921370182950565,0.008184118333982094,0.007609964966913196,0.0074250681198910085


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
