Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.007086882129112491,0.007372706985712609,0.006971773693910319,0.006654365766559896,0.006821589601204991
BitRate blocking probability,1,all,all,all, ,0.010477033638791744,0.011152397562678551,0.00996821538917457,0.01002044616039549,0.010145379236116733
BitRate blocking probability,2,all,all,all, ,0.018630452543192514,0.01575804688707049,0.01866753889142816,0.017504724736356305,0.0182671272004465
BitRate blocking probability,3,all,all,all, ,0.028923175177794615,0.026844995924178786,0.02846250078045946,0.02863212025786507,0.02849391102157038
BitRate blocking probability,4,all,all,all, ,0.040007267310813784,0.04182018068341159,0.04107248845476902,0.04043507784647412,0.041268404583484436


General requested bitRate,0,all,all,all, ,2.4166425256686172E16,2.412311261985436E16,2.4187322487873584E16,2.4078172313287856E16,2.4201382640919524E16
General requested bitRate,1,all,all,all, ,2.4237613223259312E16,2.412078006915026E16,2.4118167944464024E16,2.4127272108150524E16,2.422839804591142E16
General requested bitRate,2,all,all,all, ,2.4186714672627048E16,2.4082141958921352E16,2.415756642090732E16,2.4052546211898748E16,2.4183880383191936E16
General requested bitRate,3,all,all,all, ,2.402713091576988E16,2.4055137141149904E16,2.4156708783853624E16,2.412834509456282E16,2.4144613379101064E16
General requested bitRate,4,all,all,all, ,2.4302913854493048E16,2.4379633645473432E16,2.433079570623358E16,2.427478246028362E16,2.4173170073614652E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTO,0,all,all,all, ,0.004332612798771296,0.0041176085248325394,0.0035581482246660598,0.0036313203173225176,0.004034694254679106
BitRate blocking probability by QoTO,1,all,all,all, ,0.0029192507645953796,0.0025499139132890126,0.0027814357096975313,0.0029310726975815375,0.002328722872650803
BitRate blocking probability by QoTO,2,all,all,all, ,0.002430806947284392,0.0018991931102986476,0.0019780370916287365,0.002014514127371284,0.0020971387621341324
BitRate blocking probability by QoTO,3,all,all,all, ,0.001831904213546236,0.0013099681989770144,0.001596418223987398,0.0022488732068574957,0.00184123583200109
BitRate blocking probability by QoTO,4,all,all,all, ,0.0011630582881449365,0.0015198270974859645,7.62430302777017E-4,0.0014683375781723643,0.0013881789416220613


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk in Others,0,all,all,all, ,0.0027542693303411916,0.003255098460880069,0.003413625469244266,0.0030230454492373754,0.002786895346525888
BitRate blocking probability by Crosstalk in Others,1,all,all,all, ,0.007557782874196365,0.008602483649389541,0.007186779679477037,0.007089373462813955,0.00781665636346593
BitRate blocking probability by Crosstalk in Others,2,all,all,all, ,0.01619964559590811,0.013858853776771842,0.016689501799799424,0.015490210608984999,0.01616998843831237
BitRate blocking probability by Crosstalk in Others,3,all,all,all, ,0.027091270964248383,0.02553502772520177,0.02686608255647207,0.02638324705100755,0.026652675189569264
BitRate blocking probability by Crosstalk in Others,4,all,all,all, ,0.038844209022668864,0.04030035358592566,0.040310058151992005,0.038966740268301756,0.03988022564186237


BitRate blocking probability per core 0,0,all,all,all, ,0.10311869659033698,0.10511464430879902,0.09798679243611498,0.09779574582088651,0.09578804566730698
BitRate blocking probability per core 0,1,all,all,all, ,0.17083012653358823,0.1770699624422145,0.157122265651994,0.16152076289957382,0.1635815724522087
BitRate blocking probability per core 0,2,all,all,all, ,0.2977522563788392,0.26813657486858933,0.297426855299148,0.2821546821046259,0.3016655262721642
BitRate blocking probability per core 0,3,all,all,all, ,0.43107970912411325,0.4136695688809406,0.4183164343078068,0.43077206623222175,0.42525606749911105
BitRate blocking probability per core 0,4,all,all,all, ,0.5328495940876065,0.5444845707420717,0.5591412795943299,0.5484386816150254,0.5402398833962776
BitRate blocking probability per core 1,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 1,1,all,all,all, ,0.0,1.0920223457484773E-4,2.6415274245356893E-5,1.711226528800123E-4,3.078037794118822E-4
BitRate blocking probability per core 1,2,all,all,all, ,0.007141218504846099,0.006136039161655463,0.006174977988130403,0.006314649320081266,0.004299664040003477
