Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.29396982467805494,0.29117204153873233,0.29383974333894125,0.29122501662299055,0.2937615522282965
Percentage of cicuits per modulation,0,8QAM,all, ,0.16159344473887494,0.158850448829523,0.15943503266950976,0.16074431884851567,0.16141335706531837
Percentage of cicuits per modulation,0,16QAM,all, ,0.1860094456775758,0.18664072125633152,0.18736061661254352,0.18726287792857982,0.1867035685994543
Percentage of cicuits per modulation,0,32QAM,all, ,0.13154523853758227,0.13199890481685017,0.13041394420751987,0.1310478350999335,0.13113551680635288
Percentage of cicuits per modulation,0,64QAM,all, ,0.22688204636791207,0.23133788355856297,0.22895066317148557,0.22971995149998045,0.22698600530057797
Percentage of cicuits per modulation,1,4QAM,all, ,0.3359601662353956,0.33326472000862567,0.33496320539327606,0.3333431309152901,0.3370246961975696
Percentage of cicuits per modulation,1,8QAM,all, ,0.17171449854936094,0.1747875437409945,0.1704310505325664,0.17417161444555485,0.17209917679341435
Percentage of cicuits per modulation,1,16QAM,all, ,0.18339802399435426,0.18528538242126621,0.1857466218533507,0.18257793976446612,0.18635829086632694
Percentage of cicuits per modulation,1,32QAM,all, ,0.11560025092135184,0.1148489036570902,0.11561639540238895,0.11637567848255051,0.11344570756566053
Percentage of cicuits per modulation,1,64QAM,all, ,0.19332706029953736,0.19181345017202342,0.1932427268184179,0.1935316363921384,0.19107212857702863
Percentage of cicuits per modulation,2,4QAM,all, ,0.36146051023224635,0.3587369000570204,0.35846826616239214,0.3591660265122417,0.3607488969429562
Percentage of cicuits per modulation,2,8QAM,all, ,0.17996135799061552,0.1800271338406182,0.18022889335381947,0.178337174259883,0.1795225338796092
Percentage of cicuits per modulation,2,16QAM,all, ,0.18585623595284098,0.18702687823197467,0.18664066501201593,0.18525084204928205,0.1850870627166719
Percentage of cicuits per modulation,2,32QAM,all, ,0.10586136193367769,0.10535008553058456,0.10521805933104834,0.10456183891744962,0.10545028364323984
Percentage of cicuits per modulation,2,64QAM,all, ,0.16686053389061944,0.1688590023398022,0.1694441161407241,0.1726841182611436,0.16919122281752286
Percentage of cicuits per modulation,3,4QAM,all, ,0.3740526169596445,0.37939019683519876,0.3775226993378534,0.37648073434510654,0.38003549509711576
Percentage of cicuits per modulation,3,8QAM,all, ,0.18173881988809967,0.1809320230779127,0.18427104397129376,0.18383409827615263,0.18104482495364815
Percentage of cicuits per modulation,3,16QAM,all, ,0.18793897067576684,0.18587022137774742,0.18486578644780144,0.18667909079193887,0.1835334476843911
Percentage of cicuits per modulation,3,32QAM,all, ,0.10131542399111146,0.0980118556343952,0.09858847785575513,0.10021907433658145,0.09915823079744991
Percentage of cicuits per modulation,3,64QAM,all, ,0.15495416848537757,0.1557957030747459,0.1547519923872963,0.15278700225022057,0.15622800146739507
Percentage of cicuits per modulation,4,4QAM,all, ,0.3868726100022964,0.39110265016782725,0.393151642208246,0.39032290312906126,0.38774041345115756
Percentage of cicuits per modulation,4,8QAM,all, ,0.1859979831664287,0.18324733229798107,0.18063292402915043,0.18358492452264322,0.1846535247310968
Percentage of cicuits per modulation,4,16QAM,all, ,0.18619766965863593,0.18440959871749912,0.18502545672356993,0.18679396181145655,0.18790235515214523
Percentage of cicuits per modulation,4,32QAM,all, ,0.09627884221771818,0.09696908972496368,0.0983528002395927,0.09560131960411876,0.09683513934983407
Percentage of cicuits per modulation,4,64QAM,all, ,0.14465289495492079,0.14427132909172888,0.14283717679944094,0.14369689093272017,0.14286856731576633


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,0.06598284915272468,0.0659456710930319,0.0652412066199773,0.06526968357648531,0.06606163144357623
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,0.07877264860319354,0.07694639469618446,0.07960992214092884,0.07754136191183948,0.07739626221235563
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,0.049985821705502156,0.0499579527897835,0.05078445948589538,0.05104235929127391,0.051695304783233746
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,0.07271020543859821,0.07248743472903996,0.07136429437771431,0.07098994797981774,0.07193920960754208
Percentage of cicuits per modulation and bandwidth,0,4QAM,500.0, ,0.026518299778036356,0.02583458823069251,0.026839860714425446,0.02638166386357414,0.026669144181588805
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,0.04915468030390441,0.048735650167211,0.04918032786885246,0.04933116908514883,0.04888854116749631
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.044148275626045036,0.04415934914829953,0.044015806565202084,0.04494074392771932,0.044155183710991364
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.02315462163509959,0.02317485772397473,0.02287843812355726,0.023291743262799702,0.023930838215015696
Percentage of cicuits per modulation and bandwidth,0,8QAM,300.0, ,0.03343144061250232,0.03140828818962314,0.03167181814624985,0.03204325888841084,0.03234134939806167
Percentage of cicuits per modulation and bandwidth,0,8QAM,500.0, ,0.011704426561323568,0.011372303600414605,0.011688641965648108,0.01113740368443697,0.012097444573753337
Percentage of cicuits per modulation and bandwidth,0,16QAM,100.0, ,0.0643694570202114,0.0646255842606536,0.06419460855276028,0.0650643407517503,0.0651521226761073
Percentage of cicuits per modulation and bandwidth,0,16QAM,200.0, ,0.048890670682220416,0.04895077542878376,0.04958136077311319,0.04837290256971878,0.049045015794157626
Percentage of cicuits per modulation and bandwidth,0,16QAM,400.0, ,0.02360441580537602,0.023742006140848374,0.02382722328729606,0.024465130832714045,0.02437092310250066
Percentage of cicuits per modulation and bandwidth,0,16QAM,300.0, ,0.03556307385424713,0.036092151839320984,0.03592667944755272,0.035543865138655296,0.03441463820132416
Percentage of cicuits per modulation and bandwidth,0,16QAM,500.0, ,0.013581828315520832,0.013230203586724816,0.013830744551821277,0.013816638635741386,0.013720868825364538
Percentage of cicuits per modulation and bandwidth,0,32QAM,100.0, ,0.04491097008868768,0.04531320282400798,0.043927774952071674,0.04431493722376501,0.04437033632265068
Percentage of cicuits per modulation and bandwidth,0,32QAM,200.0, ,0.032512296003676576,0.03335419396475857,0.03281622911694511,0.03312864239058161,0.03291834958387529
Percentage of cicuits per modulation and bandwidth,0,32QAM,400.0, ,0.017463747567689133,0.01751315197621888,0.017224852302515747,0.017063010912504402,0.017231768261077914
Percentage of cicuits per modulation and bandwidth,0,32QAM,300.0, ,0.028444592202915838,0.027848942952692,0.028473336202511836,0.02894356005788712,0.028527280373191983
Percentage of cicuits per modulation and bandwidth,0,32QAM,500.0, ,0.00821363267461303,0.007969413099172746,0.007971751633475488,0.007597684515195369,0.008087782265557
Percentage of cicuits per modulation and bandwidth,0,64QAM,100.0, ,0.10470426033304325,0.10946942287759373,0.1059020305958762,0.10763875308014237,0.10533676273556766
Percentage of cicuits per modulation and bandwidth,0,64QAM,200.0, ,0.06109378208450263,0.06159427375667377,0.062277475644587035,0.062287323502953025,0.060878409435419986
Percentage of cicuits per modulation and bandwidth,0,64QAM,400.0, ,0.019282480517067734,0.01950794985625721,0.019181110372080284,0.01944889897133023,0.018943209490186106
Percentage of cicuits per modulation and bandwidth,0,64QAM,300.0, ,0.032179839443037477,0.030684685037060216,0.031613130404162915,0.031163218210975084,0.03205773913723803
Percentage of cicuits per modulation and bandwidth,0,64QAM,500.0, ,0.009621683990260978,0.010081552030978038,0.009976916154779138,0.00918175773457973,0.009769884502166195
Percentage of cicuits per modulation and bandwidth,1,4QAM,100.0, ,0.07825609660472045,0.07834661491261603,0.07803788227685614,0.07577449885368291,0.07763622108976871
Percentage of cicuits per modulation and bandwidth,1,4QAM,200.0, ,0.08923390574766722,0.08926593544466335,0.08818947017726084,0.0905492524444967,0.09024892199137594
Percentage of cicuits per modulation and bandwidth,1,4QAM,400.0, ,0.05748647377087744,0.05674321953323335,0.05711738018480594,0.05716889071777086,0.05764406115248922
Percentage of cicuits per modulation and bandwidth,1,4QAM,300.0, ,0.08094173919861994,0.07934640907264191,0.08169284587420263,0.08016381557031725,0.0815562524500196
