Metrics,LoadPoint,overlaps,src,dest, ,rep0,rep1,rep2,rep3,rep4
Average Crosstalk per overlaps,0,0,all,all, ,-200.0,-200.0,-200.0,-200.0,-200.0
Average Crosstalk per overlaps,0,1,all,all, ,-33.25305333369282,-34.18691561931778,-33.32604146099935,-34.73784637345336,-33.26933783413972
Average Crosstalk per overlaps,0,2,all,all, ,-30.41933335210891,-28.952519286815505,-30.324757075622188,-29.50055066560452,-29.0725131032145
Average Crosstalk per overlaps,0,3,all,all, ,-27.029182219204202,-26.722848158565267,-28.289728808282085,-28.041036733196393,-28.065769830566726
Average Crosstalk per overlaps,0,4,all,all, ,-27.444996204651158,-27.227774228689512,-26.842869509711566,-26.048010630505495,-27.3615817809776
Average Crosstalk per overlaps,0,5,all,all, ,-25.93660751670724,-27.346624781491364,-26.95270135062988,-26.661128368091685,-25.356090308603836
Average Crosstalk per overlaps,0,6,all,all, ,-24.91815456281023,-25.8221211734948,-25.163635010502674,-24.450234340930553,-25.05390351735706
Average Crosstalk per overlaps,0,7,all,all, ,-27.407183463772675,-24.77317913648299,-26.48221919698954,-26.246420246140197,-24.4801572069907
Average Crosstalk per overlaps,0,8,all,all, ,-25.212074255052855,-25.19773381389197,-25.48376085014278,-24.92284195179861,-24.73703190559616
Average Crosstalk per overlaps,0,9,all,all, ,-23.318857023160565,-23.875921497668187,-23.010836650979403,-24.121651838122197,-24.241256959034583
Average Crosstalk per overlaps,0,10,all,all, ,-22.674651845987462,-23.27480044753778,-24.71069093294639,-24.28203403967988,-23.175178017969007
Average Crosstalk per overlaps,0,11,all,all, ,-23.142857674888262,-22.75295072290691,-21.163939171304847,-24.659999438827292,-23.36056564328139
Average Crosstalk per overlaps,0,12,all,all, ,-24.050478004610955,-24.488844200249492,-23.41898322525096,-23.598841945913225,-23.499438658005328
Average Crosstalk per overlaps,0,13,all,all, ,-21.33320221515688,-24.407732774728824,-21.707118379583772,-21.948341298914727,-22.652596355120505
Average Crosstalk per overlaps,0,14,all,all, ,-22.870351330840762,-23.000316861846304,-22.882570313129488,-23.39908243597049,-24.369352859602465
Average Crosstalk per overlaps,0,15,all,all, ,-21.941397443286142,-22.98478330816229,-22.43475929835273,-23.08673777505117,-21.568459920452955
Average Crosstalk per overlaps,0,16,all,all, ,-23.488949967982055,-22.64733732421992,-22.51109057154364,-22.58472334325064,-23.334472089981716
Average Crosstalk per overlaps,0,17,all,all, ,-22.08358396006901,-21.208142307975137,-22.452330333555444,-22.00952124340497,-21.788552274697604
Average Crosstalk per overlaps,0,18,all,all, ,-21.696853870511706,-22.718910739049733,-24.24946421170256,-23.012948000795934,-22.418865508801666
Average Crosstalk per overlaps,0,19,all,all, ,-22.139979442615417,-22.113960631326734,-20.26134377036952,-21.669436913887,-22.73908309213507
Average Crosstalk per overlaps,0,20,all,all, ,-22.077049914237435,-22.155742474277698,-22.07524943907964,-23.481356098655684,-21.779855768064994
Average Crosstalk per overlaps,0,21,all,all, ,-21.764184350462873,-22.349209796854,-21.435041165119365,-21.201352745172297,-21.55181691344195
Average Crosstalk per overlaps,0,22,all,all, ,-22.244661450388268,-23.066209892982357,-24.09377482535308,-21.63288050816447,-21.980960817973244
Average Crosstalk per overlaps,0,23,all,all, ,-25.29376077427606,0.0,0.0,-22.92942371738063,-21.958628462856577
Average Crosstalk per overlaps,0,24,all,all, ,-21.604263065051583,-21.380592829676164,-22.01880783442408,-22.311283080549703,-21.66067663990804
Average Crosstalk per overlaps,0,25,all,all, ,-22.43386276533979,-20.888775644051144,-21.16300391241558,0.0,-21.58896540945312
Average Crosstalk per overlaps,0,27,all,all, ,-20.66182671619843,-21.135426878028216,0.0,-21.66284220774876,0.0
Average Crosstalk per overlaps,0,29,all,all, ,-20.62776229608469,0.0,0.0,0.0,-21.01723975999329
