Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
BitRate blocking probability,0,all,all,all, ,0.0,2.2947000452815444E-5,1.870301139133766E-5,0.0,0.0
BitRate blocking probability,1,all,all,all, ,4.322746830399706E-5,4.0211152256742945E-5,0.0,3.0502372672800555E-5,3.877584436020148E-5
BitRate blocking probability,2,all,all,all, ,3.2642571281038155E-4,2.8754571979968074E-4,1.3308322430555074E-4,7.818917703783478E-5,1.8640467480362572E-4
BitRate blocking probability,3,all,all,all, ,0.001422100511287486,0.0013859337579662924,0.001260380830608708,0.0011658104857270883,0.0014337831129332661
BitRate blocking probability,4,all,all,all, ,0.009295964070644949,0.010575296840502055,0.010549195838553986,0.011380995258491849,0.010401992846148803


General requested bitRate,0,all,all,all, ,2.423782421524048E16,2.4324140405704904E16,2.4000262777770036E16,2.403853258671876E16,2.4064781154876796E16
General requested bitRate,1,all,all,all, ,2.4166382934014364E16,2.417912346286568E16,2.4209150021389468E16,2.4009810249726692E16,2.4177107486875192E16
General requested bitRate,2,all,all,all, ,2.4127578759053068E16,2.4266064475733764E16,2.4176928769832708E16,2.4145558042388548E16,2.4250809068214552E16
General requested bitRate,3,all,all,all, ,2.42431477577839E16,2.4101914762544204E16,2.4148139589813156E16,2.4262424035317748E16,2.4091001705230296E16
General requested bitRate,4,all,all,all, ,2.4171349612714516E16,2.4225722971782896E16,2.4169126209879E16,2.4379356044431984E16,2.417042394720624E16


BitRate blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by QoTN,3,all,all,all, ,0.0,2.1732562658121732E-7,0.0,1.7169719046771497E-5,0.0
BitRate blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,1.0513553151494005E-4


BitRate blocking probability by QoTO,0,all,all,all, ,0.0,2.2947000452815444E-5,1.870301139133766E-5,0.0,0.0
BitRate blocking probability by QoTO,1,all,all,all, ,4.322746830399706E-5,4.0211152256742945E-5,0.0,3.0502372672800555E-5,3.877584436020148E-5
BitRate blocking probability by QoTO,2,all,all,all, ,3.2642571281038155E-4,2.8754571979968074E-4,1.3308322430555074E-4,7.818917703783478E-5,1.8640467480362572E-4
BitRate blocking probability by QoTO,3,all,all,all, ,0.0013100139616678606,0.0012835697519597298,0.0010221770377122287,9.124819197151529E-4,0.001304113537481641
BitRate blocking probability by QoTO,4,all,all,all, ,0.004866872588066504,0.0053714717135865024,0.005371602810722985,0.004803203966384155,0.0049356755895234306


BitRate blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


BitRate blocking probability by Crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk,3,all,all,all, ,3.253662463542016E-5,3.29490460648167E-5,1.843171706326277E-4,8.998015557609833E-5,8.668708502004499E-5
BitRate blocking probability by Crosstalk,4,all,all,all, ,0.003872404060406541,0.003445888398802005,0.004088851542366852,0.005039188014667959,0.004176384368439209


BitRate blocking probability by Crosstalk in Others,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk in Others,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk in Others,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability by Crosstalk in Others,3,all,all,all, ,7.954992498420545E-5,6.91976343151647E-5,5.3886622263851576E-5,1.4617869138906547E-4,4.2982490431579824E-5
BitRate blocking probability by Crosstalk in Others,4,all,all,all, ,5.566874221719051E-4,0.0017579367281135455,0.001088741485464139,0.0015386032774397484,0.0011847973566712286


BitRate blocking probability per core 0,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 0,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 0,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 0,3,all,all,all, ,0.002102078270778775,0.002145335979780859,0.01204254465243419,0.007266233865384873,0.005986721404261886
BitRate blocking probability per core 0,4,all,all,all, ,0.2335898412531188,0.2067212113412247,0.24516107278463373,0.2762810215943021,0.25771445063464354
BitRate blocking probability per core 1,0,all,all,all, ,0.0,7.557705345881815E-4,6.093958948611671E-4,0.0,0.0
BitRate blocking probability per core 1,1,all,all,all, ,0.0012100053505138214,0.001167708991950651,0.0,8.601292761356484E-4,0.0011705191908351067
BitRate blocking probability per core 1,2,all,all,all, ,0.007669927216838068,0.006982646702210716,0.0031172368410713382,0.0018894438911292765,0.0045111568616615265
BitRate blocking probability per core 1,3,all,all,all, ,0.01572098572993693,0.02137468779283955,0.013352287089948438,0.010816078331169739,0.02092950830754572
BitRate blocking probability per core 1,4,all,all,all, ,0.04013200953554242,0.044320135002232454,0.03627776212831769,0.03962302767665595,0.04493665111948378
BitRate blocking probability per core 2,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
BitRate blocking probability per core 2,3,all,all,all, ,0.004340298730254277,0.00225620789255446,0.0029899022567602134,0.0023067484460527173,0.0010820652167644743
BitRate blocking probability per core 2,4,all,all,all, ,0.014381505307290763,0.02056197814311458,0.02205600524627169,0.016869364586379394,0.015377903124226563
