Metrics,LoadPoint,BitRate,src,dest, ,rep0,rep1,rep2,rep3,rep4
Blocking probability,0,all,all,all, ,0.0,9.731413001167769E-6,9.731413001167769E-6,0.0,0.0
Blocking probability,1,all,all,all, ,1.9462826002335538E-5,3.8925652004671076E-5,0.0,1.9462826002335538E-5,1.9462826002335538E-5
Blocking probability,2,all,all,all, ,1.2650836901518102E-4,1.3623978201634878E-4,1.0704554301284547E-4,5.8388478007006614E-5,7.785130400934215E-5
Blocking probability,3,all,all,all, ,8.563643441027637E-4,9.050214091086026E-4,7.687816270922538E-4,7.785130400934215E-4,7.882444530945893E-4
Blocking probability,4,all,all,all, ,0.005332814324639937,0.006208641494745037,0.006033476060724017,0.00632541845075905,0.005858310626702997


Blocking probability by lack of transmitters,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of transmitters,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by lack of receivers,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by lack of receivers,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by fragmentation,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by fragmentation,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by QoTN,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by QoTN,3,all,all,all, ,0.0,9.731413001167769E-6,0.0,9.731413001167769E-6,0.0
Blocking probability by QoTN,4,all,all,all, ,0.0,0.0,0.0,0.0,2.9194239003503307E-5


Blocking probability by QoTO,0,all,all,all, ,0.0,9.731413001167769E-6,9.731413001167769E-6,0.0,0.0
Blocking probability by QoTO,1,all,all,all, ,1.9462826002335538E-5,3.8925652004671076E-5,0.0,1.9462826002335538E-5,1.9462826002335538E-5
Blocking probability by QoTO,2,all,all,all, ,1.2650836901518102E-4,1.3623978201634878E-4,1.0704554301284547E-4,5.8388478007006614E-5,7.785130400934215E-5
Blocking probability by QoTO,3,all,all,all, ,7.493188010899183E-4,7.979758660957571E-4,6.422732580770728E-4,6.714674970805761E-4,7.103931490852472E-4
Blocking probability by QoTO,4,all,all,all, ,0.0028026469443363177,0.0034449202024133905,0.0033086804203970414,0.002841572596340989,0.0030556636823666798


Blocking probability by other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,3,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by other,4,all,all,all, ,0.0,0.0,0.0,0.0,0.0


Blocking probability by crosstalk,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk,3,all,all,all, ,2.9194239003503307E-5,5.8388478007006614E-5,6.811989100817439E-5,4.8657065005838845E-5,3.8925652004671076E-5
Blocking probability by crosstalk,4,all,all,all, ,0.002111716621253406,0.0019754768392370573,0.0021701050992604127,0.002695601401323472,0.001994939665239393


Blocking probability by crosstalk in other,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk in other,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk in other,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability by crosstalk in other,3,all,all,all, ,7.785130400934215E-5,3.8925652004671076E-5,5.8388478007006614E-5,4.8657065005838845E-5,3.8925652004671076E-5
Blocking probability by crosstalk in other,4,all,all,all, ,4.184507590502141E-4,7.882444530945893E-4,5.546905410665629E-4,7.882444530945893E-4,7.785130400934215E-4


Blocking probability per core 0,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 0,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 0,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 0,3,all,all,all, ,0.0012836970474967907,0.003043478260869565,0.0029749256268593286,0.0028076743097800653,0.0018009905447996398
Blocking probability per core 0,4,all,all,all, ,0.10120705663881151,0.09376443418013856,0.10596026490066225,0.12865768694844404,0.10221130221130222
Blocking probability per core 1,0,all,all,all, ,0.0,2.6483050847457627E-4,2.6219192448872575E-4,0.0,0.0
Blocking probability per core 1,1,all,all,all, ,4.540295119182747E-4,9.176416609314062E-4,0.0,4.4752741105392703E-4,4.791566842357451E-4
Blocking probability per core 1,2,all,all,all, ,0.0025465230166503428,0.002787178976707147,0.002255022550225502,0.0012155591572123178,0.0016501650165016502
Blocking probability per core 1,3,all,all,all, ,0.008964143426294821,0.01256763833129691,0.00881201044386423,0.008484642796538266,0.010977875358892079
Blocking probability per core 1,4,all,all,all, ,0.024509803921568627,0.031194295900178252,0.02355206636053918,0.0237688585254768,0.026879338354748192
Blocking probability per core 2,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 2,3,all,all,all, ,0.0026065424214779098,0.0015868817773075905,0.001674179008370895,0.0018020337237739735,5.148005148005148E-4
Blocking probability per core 2,4,all,all,all, ,0.008710177783080779,0.011157768446310739,0.01333494969087162,0.00895909465990805,0.009989422963920554
Blocking probability per core 3,0,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 3,1,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 3,2,all,all,all, ,0.0,0.0,0.0,0.0,0.0
Blocking probability per core 3,3,all,all,all, ,6.814641744548286E-4,0.0,3.0500203334688896E-4,5.01856870420556E-4,3.971011615208974E-4
Blocking probability per core 3,4,all,all,all, ,0.0034074775201135827,0.006303509267099445,0.004772599663110612,0.004886299567750423,0.0049844822721715415
