Metrics,LoadPoint,Modulation,Bandwidth, ,rep0,rep1,rep2,rep3,rep4
Percentage of cicuits per modulation,0,4QAM,all, ,0.0010120669521214481,9.342156481121058E-4,7.59050214091086E-4,9.147528221097704E-4,8.660957571039315E-4
Percentage of cicuits per modulation,0,8QAM,all, ,0.06938497469832619,0.07054301284546516,0.06895679252627482,0.06699104710003892,0.0691708836123005
Percentage of cicuits per modulation,0,16QAM,all, ,0.2551771117166213,0.2568022576878163,0.2595075905021409,0.2566465550797976,0.2569093032308291
Percentage of cicuits per modulation,0,32QAM,all, ,0.20910860256909303,0.20816465550797975,0.20886531724406385,0.2098773841961853,0.21142467886337096
Percentage of cicuits per modulation,0,64QAM,all, ,0.46531724406383806,0.4635558583106267,0.4619112495134293,0.4655702608018684,0.4616290385363955
Percentage of cicuits per modulation,1,4QAM,all, ,0.0021798577253573895,0.0025984389902096268,0.00235502486400218,0.002452339941027063,0.002043636505186944
Percentage of cicuits per modulation,1,8QAM,all, ,0.07854299866678345,0.0796951943476653,0.081005070115513,0.07734602321937738,0.078018256486113
Percentage of cicuits per modulation,1,16QAM,all, ,0.26858961258867836,0.2694104365766783,0.27058457166768846,0.2707402757909283,0.2700519667568462
Percentage of cicuits per modulation,1,32QAM,all, ,0.21751866016601953,0.2141133191895206,0.21574752576416664,0.21689584367306028,0.21628486346561826
Percentage of cicuits per modulation,1,64QAM,all, ,0.4331688708531613,0.4341826108959262,0.4303078075886297,0.432565517375607,0.4336012767862356
Percentage of cicuits per modulation,2,4QAM,all, ,0.004700638430395515,0.004817893363960211,0.0048760073188772535,0.004943942696979134,0.005118972312782833
Percentage of cicuits per modulation,2,8QAM,all, ,0.08501051074431641,0.0852037141577933,0.08779732938840659,0.08618810339458113,0.08769402948761618
Percentage of cicuits per modulation,2,16QAM,all, ,0.2793132980379944,0.2807809853808569,0.2783703819052439,0.2776977577078792,0.279110505571505
Percentage of cicuits per modulation,2,32QAM,all, ,0.22023902211149174,0.22155496291682078,0.21921594580916418,0.21871107131734663,0.22033964283976448
Percentage of cicuits per modulation,2,64QAM,all, ,0.41073653067580196,0.40764244418056883,0.4097403355783081,0.41245912488321396,0.40773684978833147
Percentage of cicuits per modulation,3,4QAM,all, ,0.007956371427180212,0.007459561580336362,0.00741966893865628,0.008463186599142969,0.008260598503740649
Percentage of cicuits per modulation,3,8QAM,all, ,0.09126941617568292,0.08983610388851558,0.09053554040895813,0.09016361511492015,0.0893859102244389
Percentage of cicuits per modulation,3,16QAM,all, ,0.2885815844573209,0.286238764400557,0.28398247322297954,0.28740747954811063,0.28893586346633415
Percentage of cicuits per modulation,3,32QAM,all, ,0.22062618688221258,0.22316359422322202,0.2249367088607595,0.21941955590183093,0.2219159133416459
Percentage of cicuits per modulation,3,64QAM,all, ,0.39156644105760335,0.393301975907369,0.39312560856864653,0.3945461628359953,0.3915017144638404
Percentage of cicuits per modulation,4,4QAM,all, ,0.010559971840075092,0.009329799614681231,0.009670574660943199,0.01018971249755525,0.009709973277996926
Percentage of cicuits per modulation,4,8QAM,all, ,0.09407174914200228,0.09319041984098266,0.09350829674681477,0.0971934285155486,0.09470160429901237
Percentage of cicuits per modulation,4,16QAM,all, ,0.2904285588571764,0.28911621174928853,0.2912710596563964,0.2897418345394093,0.2903888883450956
Percentage of cicuits per modulation,4,32QAM,all, ,0.22508384422085986,0.22492249616148183,0.22569889213740235,0.22307842753764914,0.22594285602419661
Percentage of cicuits per modulation,4,64QAM,all, ,0.3798558759398864,0.38344107263356575,0.3798511767984433,0.3797965969098377,0.3792566780536985


Percentage of cicuits per modulation and bandwidth,0,4QAM,100.0, ,4.8657065005838845E-5,4.8657065005838845E-5,3.8925652004671076E-5,3.8925652004671076E-5,1.9462826002335538E-5
Percentage of cicuits per modulation and bandwidth,0,4QAM,200.0, ,1.8489684702218762E-4,1.8489684702218762E-4,7.785130400934215E-5,1.4597119501751654E-4,1.654340210198521E-4
Percentage of cicuits per modulation and bandwidth,0,4QAM,400.0, ,2.919423900350331E-4,3.114052160373686E-4,1.8489684702218762E-4,3.016738030362009E-4,3.211366290385364E-4
Percentage of cicuits per modulation and bandwidth,0,4QAM,300.0, ,2.822109770338653E-4,2.6274815103152977E-4,2.919423900350331E-4,2.6274815103152977E-4,1.9462826002335538E-4
Percentage of cicuits per modulation and bandwidth,0,4QAM,500.0, ,2.0435967302452317E-4,1.2650836901518102E-4,1.654340210198521E-4,1.654340210198521E-4,1.654340210198521E-4
Percentage of cicuits per modulation and bandwidth,0,8QAM,100.0, ,5.254963020630595E-4,5.838847800700662E-4,3.6006228104320745E-4,4.2818217205138186E-4,5.644219540677306E-4
Percentage of cicuits per modulation and bandwidth,0,8QAM,200.0, ,0.006529778123783574,0.007142857142857143,0.00623783573374854,0.006831451926819774,0.006568703775788245
Percentage of cicuits per modulation and bandwidth,0,8QAM,400.0, ,0.024639937718956794,0.02548657065005839,0.025058388478007006,0.02364733359283768,0.024678863370961465
Percentage of cicuits per modulation and bandwidth,0,8QAM,300.0, ,0.024435578045932268,0.023919813156870376,0.023725184896847024,0.023112105877773452,0.023550019462826
